comorbidity,pearson_r,p_value,n,p_adj_bh,significant_bh
retinopathy,-0.0363,0.010240884736525189,5000,0.14337238631135263,False
hyperlipidemia,-0.024,0.0894871269317447,5000,0.27513638914531735,False
ckd,-0.0232,0.10056403417177612,5000,0.27513638914531735,False
mi,-0.0221,0.11791559534799315,5000,0.27513638914531735,False
depression,-0.0107,0.44908663240853114,5000,0.7963805118618089,False
sleep_apnea,-0.0106,0.45507457820674796,5000,0.7963805118618089,False
atrial_fibrillation,-0.0074,0.6012314946091093,5000,0.8707924479539846,False
hypertension,-0.0041,0.7737738441495944,5000,0.8707924479539846,False
heart_failure,-0.0033,0.8175494194214944,5000,0.8707924479539846,False
nafld,-0.0023,0.8707924479539846,5000,0.8707924479539846,False
stroke,0.0039,0.7809053111203154,5000,0.8707924479539846,False
neuropathy,0.0066,0.6393360847573399,5000,0.8707924479539846,False
obesity,0.0223,0.1150464853503696,5000,0.27513638914531735,False
pvd,0.0258,0.06855591038577591,5000,0.27513638914531735,False
