covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
drug_class_num,0.12804482477934656,1.1366039495764546,0.016746952086962037,0.09522140183808307,0.16086824772061004,1.0999023485718458,1.1745302115866978,0.0,7.645858429309831,2.0755592972414323e-14,45.45349317912953
age_at_index,-0.00010898936290164104,0.9998910165762233,0.0010083456963401664,-0.002085310611694329,0.0018673318858910468,0.997916862137931,1.0018690764357927,0.0,-0.10808729912491576,0.9139264429566768,0.12985003972660025
cci,0.0038982159898189395,1.0039058239163385,0.020402589752251142,-0.03609012511593929,0.043886557095577164,0.9645533590823784,1.044863815778872,0.0,0.1910647636969138,0.8484748535314515,0.237056192011664
tv_hypertension,0.014276207276328633,1.0143785989983454,0.027454084679834408,-0.03953280992465967,0.06808522447731694,0.9612384153132238,1.070456533689983,0.0,0.5200030320739413,0.603061461785465,0.7296230511459969
tv_obesity,-0.01801994537207225,0.9821414429864348,0.028042382816723443,-0.07298200573353508,0.036942114989390575,0.9296175576613346,1.0376329557050887,0.0,-0.6425967967788322,0.5204857621095655,0.9420693957524272
tv_ckd,0.034678264749784894,1.0352865670280842,0.04364892495090181,-0.0508720561178744,0.12022858561744418,0.950400260652826,1.1277546106022407,0.0,0.7944815316480875,0.4269151563095518,1.2279787129425168
tv_heart_failure,-0.016262970097742652,0.9838685580225687,0.04238497819746955,-0.0993360008502984,0.0668100606548131,0.9054384288253983,1.0690923961789056,0.0,-0.3836965545192513,0.701203366614432,0.5120951721123785
tv_hyperlipidemia,0.007434404756910651,1.007462108555151,0.02739556057228893,-0.046259907301061165,0.06112871681488247,0.9547937720665314,1.0630357359554137,0.0,0.27137260934279533,0.7861044664618614,0.3472070480119008
tv_neuropathy,0.005497054066122943,1.005512190590547,0.03425815549515474,-0.06164769688115329,0.07264180501339917,0.9402140687982578,1.0753452846312848,0.0,0.16045972080722246,0.8725189485859489,0.1967416320646282
tv_retinopathy,0.0844449403684546,1.0881129314855449,0.03690454172983093,0.012113367712030462,0.15677651302487872,1.0121870316898187,1.1697341643366321,0.0,2.28819913241723,0.02212592722178715,5.498118274907019
tv_depression,0.031016654771451903,1.0315026831849041,0.03600204407032043,-0.03954605497619994,0.10157936451910375,0.9612256837451858,1.1069177649020405,0.0,0.8615248265034371,0.38894905369342103,1.3623468980237694
tv_atrial_fibrillation,0.021767246250891943,1.0220058810846269,0.04457657451504571,-0.06560123435276366,0.10913572685454756,0.9365042355604863,1.1153137180916715,0.0,0.4883113269177952,0.6253293396345876,0.6773118866862685
tv_sleep_apnea,0.033602362838997715,1.0341732992232757,0.037156118281540154,-0.039222290798131276,0.1064270164761267,0.9615369445734563,1.1122967441472549,0.0,0.9043561166531217,0.36580659954533623,1.4508469917924156
tv_nafld,-0.0034593107288182026,0.9965466657930061,0.030210162828538712,-0.06267014183984476,0.05575152038220836,0.9392532429430035,1.0573349249148367,0.0,-0.11450817886854574,0.9088349632469555,0.13790975791807836
tv_pvd,-0.06869787201706702,0.9336087067874066,0.05242688529393602,-0.17145267901479422,0.03405693498066019,0.8424401321738426,1.0346435124595756,0.0,-1.310355777038942,0.19007550656845937,2.395355458897122
tv_stroke,-0.018065808030072995,0.9820964004022209,0.053733384228133535,-0.12338130588466731,0.0872496898245213,0.8839265518979131,1.0911690995276193,0.0,-0.3362119898008241,0.7367110121064264,0.4408292871852445
tv_mi,0.06772807218431305,1.0700742859488064,0.0508385196597566,-0.03191359537614137,0.1673697397447675,0.9685902691415492,1.182191287616074,0.0,1.332219597218644,0.18278803864969317,2.4517564290065814
