covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),comorbidity_outcome
drug_class_num,0.02771378791140109,1.0281013872623919,0.03700981405344194,-0.04482411470786946,0.10025169053067165,0.9561656425175301,1.1054491141386897,0.0,0.7488226736665727,0.4539640917940305,1.1393499089118697,hypertension
age_at_index,0.0014867249574268885,1.0014878306808774,0.002175238848496033,-0.0027766648433977153,0.005750114758251493,0.9972271865249509,1.0057666784005141,0.0,0.6834766483022381,0.4943057010401065,1.016524549091734,hypertension
cci,0.0017565846485723643,1.0017581283471328,0.04470209420917079,-0.08585791003491888,0.08937107933206362,0.9177246214157735,1.0934863512340136,0.0,0.039295354717676624,0.9686549101559779,0.04594530755349499,hypertension
obesity,-0.04919790025303977,0.9519927114566217,0.06468257166496663,-0.17597341114380538,0.07757761063772584,0.8386402815264755,1.080666100389216,0.0,-0.7606051983812254,0.4468929138867429,1.161998925924199,hypertension
ckd,-0.026245695958079338,0.9740957288216107,0.10392756202139167,-0.22993997452105974,0.1774485826049011,0.7945812961947624,1.1941666553851604,0.0,-0.25253835890691945,0.8006249685442041,0.3208014861151973,hypertension
heart_failure,-0.022410322694840883,0.9778389232210685,0.10110806863147713,-0.22057849575894006,0.17575785036925828,0.8020546784999013,1.1921493451724268,0.0,-0.22164722359125416,0.8245885175884644,0.27825372307869917,hypertension
hyperlipidemia,0.004442314893552666,1.0044521966014937,0.060396256243789664,-0.11393217214532744,0.12281680193243277,0.8923184778778857,1.1306772640828777,0.0,0.07355281883071112,0.9413662145092551,0.08717201903739517,hypertension
neuropathy,0.031369911691113715,1.031867133013811,0.07893847737939393,-0.12334666096692812,0.18608648434915556,0.8839571759910728,1.2045264285573207,0.0,0.3973969695455832,0.6910747498655172,0.5330863272148244,hypertension
retinopathy,-0.015340439168255896,0.9847766259938869,0.0858497424292066,-0.18360284241154098,0.1529219640750292,0.8322662790653027,1.165234045278207,0.0,-0.17868940236956363,0.8581815909392849,0.22064514106913316,hypertension
depression,-0.1379622603719316,0.8711315673067875,0.08603218114286149,-0.30658223692336606,0.030657716179502886,0.7359579927696304,1.0311325035040713,0.0,-1.6036122592642068,0.1087995468001225,3.20025554777133,hypertension
atrial_fibrillation,0.1271089745217555,1.135540756050029,0.104266330072128,-0.07724927721978095,0.33146722626329195,0.9256590791225707,1.3930104913711208,0.0,1.2190797780436478,0.22281391428942743,2.16608876593676,hypertension
sleep_apnea,0.09028935736086832,1.09449093689903,0.08517837689408628,-0.07665719361311948,0.2572359083348561,0.9262073089716141,1.2933502028656845,0.0,1.060003262014927,0.28914311531170883,1.7901443438775102,hypertension
nafld,-0.06406684151417683,0.9379423039516125,0.0700835211797022,-0.2014280189361432,0.07329433590778955,0.8175624244552239,1.0760472096406142,0.0,-0.9141498662703047,0.36063810300474064,1.4713762629759126,hypertension
pvd,0.05861828098906963,1.0603703999370755,0.12564501923747468,-0.187641431553223,0.30487799353136225,0.8289118755956449,1.356459496077005,0.0,0.4665388357200095,0.6408298561195868,0.6419867307358309,hypertension
stroke,0.02803783462842535,1.0284345941260817,0.12707958046733597,-0.22103356625801288,0.27710923551486355,0.8016897701128908,1.319310478723385,0.0,0.22063209939249118,0.8253789052049266,0.27687152805336834,hypertension
mi,0.01685444665615699,1.0169972841963857,0.11700546581683245,-0.21247205233916705,0.24618094565148102,0.8085829140067107,1.2791310057959502,0.0,0.1440483702064139,0.8854622740023588,0.17549725405263875,hypertension
drug_class_num,0.027522898448145428,1.027905152270597,0.04063363500962272,-0.05211756273166096,0.10716335962795182,0.9492172677081371,1.1131160778559674,0.0,0.6773427590622288,0.49818850720967567,1.0052363546872871,obesity
age_at_index,0.0014301717463290216,1.0014311949296588,0.0024059805944270816,-0.003285463566250329,0.006145807058908373,0.9967199276633266,1.0061647312794504,0.0,0.5944236415047137,0.5522287999474433,0.8566619652774151,obesity
cci,0.021581036137873454,1.021815590971526,0.04111666715495623,-0.05900615065016173,0.10216822292590863,0.9427009709153891,1.1075697746854254,0.0,0.524873187229429,0.5996713498652864,0.7377560472039542,obesity
