covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
drug_class_num,0.12224878290367991,1.130035200251001,0.006884521113386638,0.1087553694706365,0.13574219633672333,1.114889580950578,1.1453865706750443,0.0,17.75704960305412,1.5201827581508982e-70,231.93072186553312
age_at_index,0.0005405544597345916,1.000540700585625,0.00042413373420168815,-0.0002907323839292013,0.0013718413033983845,0.9997093098746349,1.001372782708116,0.0,1.2744906055445755,0.2024895999504159,2.3040802831136333
cci,-0.002783514668814386,0.9972203557162174,0.012995669750944022,-0.028254559335641284,0.02268752999801251,0.9721408677675399,1.022946849398963,0.0,-0.21418785812190927,0.8304005641944243,0.2681206709889896
hypertension,0.003730481044259305,1.0037374479492787,0.011386372135461887,-0.018586398255816417,0.026047360344335028,0.9815852636733701,1.0263895574852278,0.0,0.327626833189567,0.7431938308262187,0.42818956877680797
obesity,0.009279251637968198,1.0093224373671763,0.012199892361745875,-0.014632098006319018,0.033190601282255414,0.9854744309261932,1.033747554074404,0.0,0.7606011071920871,0.4468953582526338,1.1619910348505322
ckd,-0.012698407420453714,0.9873818771669518,0.02777039623071429,-0.06712738386906059,0.04173056902815316,0.9350760801409238,1.0426135285278653,0.0,-0.45726417855029267,0.6474811737286197,0.6270898495217115
heart_failure,-0.0038678068374928204,0.9961396634930046,0.021874449598364133,-0.04674094023192317,0.03900532655693753,0.95433459526842,1.0397760220615915,0.0,-0.1768184758249676,0.8596509761087494,0.21817705977318377
hyperlipidemia,0.021576358895243904,1.0218108117032614,0.011656313753727101,-0.0012695962545601,0.04442231404504791,0.9987312093418013,1.0454237588127184,0.0,1.8510447943583255,0.0641631091080831,3.962112138596978
neuropathy,0.000788713276341145,1.0007890243924458,0.01818001302873986,-0.03484345749845792,0.03642088405114022,0.9657565863768957,1.0370922502344786,0.0,0.043383537464704136,0.9653958005455223,0.050807543788839706
retinopathy,-0.0012922303048523013,0.9987086042652038,0.016241519959577278,-0.0331250244798122,0.030540563870107597,0.9674176011454619,1.0310117110256902,0.0,-0.07956338495833333,0.9365845174293628,0.09451890567859239
depression,-0.023782036432234716,0.9764985276667992,0.016226370315741652,-0.05558513785089818,0.008021064986428749,0.9459314856682803,1.0080533199101247,0.0,-1.4656411735632031,0.14274606807226498,2.8084770876583964
atrial_fibrillation,-0.009048594101405252,0.9909922212263167,0.019997183755077193,-0.04824235405358599,0.030145165850775486,0.9529028192297243,1.0306041316205974,0.0,-0.45249342168533385,0.6509135592202573,0.6194621274786901
sleep_apnea,0.01207536495281353,1.0121485665206669,0.01669850974299989,-0.020653112738957452,0.04480384264458451,0.9795587020759399,1.045822693973088,0.0,0.7231402765073446,0.4695937067163588,1.0905150206598786
nafld,0.018195204137608504,1.0183617454151817,0.013363975876575307,-0.007997707270741197,0.0443881155459582,0.9920341893002647,1.0453880075005784,0.0,1.3615112976596648,0.1733521657172181,2.528222234406765
pvd,0.0031237467804851433,1.0031286307615754,0.02474878549035729,-0.0453829814417226,0.05163047500269289,0.9556314226406372,1.052986565754648,0.0,0.12621818479546112,0.8995592170977469,0.15270983909016644
stroke,0.013646405529534625,1.013739942719316,0.027613072254369816,-0.04047422159153245,0.0677670326506017,0.9603339200723889,1.0701159773541034,0.0,0.4942009133871389,0.6211642947618893,0.6869531905491502
mi,0.0025641856348420605,1.0025674759705698,0.02533848653824688,-0.04709833540287482,0.05222670667255894,0.9539935816345418,1.0536145768945553,0.0,0.10119726886495689,0.9193938647200902,0.12124505606289736
