comorbidity,n_absent,n_present,median_ttd_absent,median_ttd_present,logrank_p
hypertension,16047,13953,358.0,359.0,0.9216
obesity,20462,9538,361.0,353.0,0.4648
ckd,24617,5383,358.0,362.0,0.2024
heart_failure,26809,3191,358.0,362.0,0.5613
hyperlipidemia,18287,11713,360.0,356.0,0.0719
neuropathy,23644,6356,358.0,361.0,0.9755
retinopathy,25712,4288,358.0,362.0,0.8336
depression,25712,4288,358.0,361.0,0.1477
atrial_fibrillation,27341,2659,357.0,367.0,0.7471
sleep_apnea,26015,3985,358.0,358.0,0.3131
nafld,22871,7129,358.0,360.0,0.1291
pvd,27800,2200,359.0,346.0,0.9932
stroke,28356,1644,359.0,351.0,0.7107
mi,27953,2047,358.0,360.0,0.9297
